name,category,instructions,glass,alcohol,Ingrediants
Gauguin,Cocktail Classics,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '2 oz Light Rum', 'Ingrediant 2': ' 1 oz  Passion Fruit Syrup', 'Ingrediant 3': ' 1 oz  Lemon Juice', 'Ingrediant 4': ' 1 oz  Lime Juice'}"
Fort Lauderdale,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Light Rum', 'Ingrediant 2': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1/4 oz  Juice of Orange', 'Ingrediant 4': ' 1/4 oz  Juice of a Lime'}"
Apple Pie,Cordials and Liqueurs,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '3 oz Apple schnapps', 'Ingrediant 2': ' 1 oz  Cinnamon schnapps', 'Ingrediant 3': '  Apple slice'}"
Cuban Cocktail No. 1,Cocktail Classics,Shake with ice and  strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 1/2 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Light Rum'}"
Cool Carlos,Cocktail Classics,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Dark rum', 'Ingrediant 2': ' 2 oz  Cranberry Juice', 'Ingrediant 3': ' 2 oz  Pineapple Juice', 'Ingrediant 4': ' 1 oz  Orange curacao', 'Ingrediant 5': ' 1 oz  Sour Mix'}"
Casa Blanca,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Light Rum', 'Ingrediant 2': ' 1 1/2 oz  Lime Juice', 'Ingrediant 3': ' 1 1/2 oz  Triple Sec', 'Ingrediant 4': ' 1 1/2 oz  Maraschino'}"
Caribbean Champagne,Cocktail Classics,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '1/2 oz Light Rum', 'Ingrediant 2': ' 1/2 oz  Creme de banana', 'Ingrediant 3': '   Chilled Champagne'}"
Amber Amour,Cordials and Liqueurs,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Amaretto', 'Ingrediant 2': ' 1/4 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/4 oz  Simple Syrup', 'Ingrediant 4': '  Maraschino cherry  Soda water'}"
The Joe Lewis,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Scotch Whiskey', 'Ingrediant 2': ' 1 oz  Fresh carrot juice', 'Ingrediant 3': ' 3/4 oz  Tawny port', 'Ingrediant 4': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 5': ' 1 oz  Agave nectar'}"
Bacardi Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Bacardi Rum', 'Ingrediant 2': ' 1/2 oz  Juice of a Lime', 'Ingrediant 3': ' 1/2 oz  Grenadine'}"
Apple Pie No. 1,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Light Rum', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Apple Brandy', 'Ingrediant 4': ' 1/2 oz  Grenadine', 'Ingrediant 5': ' 1 oz  Lemon Juice'}"
Yolanda,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Brandy', 'Ingrediant 2': ' 1/2 oz  Gin', 'Ingrediant 3': ' 1/2 oz  Anisette', 'Ingrediant 4': ' 1 oz  Sweet Vermouth', 'Ingrediant 5': ' 1 oz  Grenadine'}"
Yellow Rattler,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a cocktail onion.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1 oz  Orange Juice', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1/2 oz  Sweet Vermouth'}"
Why Not?,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1 oz  Apricot Flavored Brandy', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1 oz  Lemon Juice'}"
Amaretto Stinger,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Amaretto', 'Ingrediant 2': ' 3/4 oz  White creme de menthe'}"
What The Hell,Cocktail Classics,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Apricot Flavored Brandy', 'Ingrediant 4': ' 1 oz  Lemon Juice'}"
Webster Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 1 1/2 oz  Apricot Flavored Brandy', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1 oz  Gin'}"
Union Jack Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sloe gin', 'Ingrediant 2': ' 1 1/2 oz  Gin', 'Ingrediant 3': ' 1/2 oz  Grenadine'}"
Jocose Julep,Whiskies,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,Alcoholic,"{'Ingrediant 1': '2 1/2 oz Bourbon whiskey', 'Ingrediant 2': ' 1/2 oz  Green creme de menthe', 'Ingrediant 3': ' 1 oz  Fresh Lime Juice', 'Ingrediant 4': ' 1/2 oz  Simple Syrup', 'Ingrediant 5': ' 5 oz  Fresh mint leaves', 'Ingrediant 6': '  Soda water'}"
Trinity Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sweet Vermouth', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 3/4 oz  Gin'}"
Three Stripes Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Orange Juice'}"
Tanq-A-Rita,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Tanqueray gin', 'Ingrediant 2': ' 3 oz  Margarita Mix', 'Ingrediant 3': ' 1 oz  Triple Sec'}"
Amaretto Sour,Cordials and Liqueurs,Shake with ice and strain into chilled sour glass. Garnish with orange.,Cordial or Pony Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Amaretto', 'Ingrediant 2': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/2 oz  Simple Syrup', 'Ingrediant 4': ' 1  Orange half-wheel'}"
Tailspin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Gin', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 3/4 oz  Green Chartreuse', 'Ingrediant 4': ' 1 oz  Orange Bitters'}"
Sweet Patootie Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1/2 oz  Triple Sec', 'Ingrediant 3': ' 1 oz  Orange Juice'}"
Sunshine Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sweet Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Gin', 'Ingrediant 3': ' 1 oz  Bitters'}"
Spring Feeling Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Lemon Juice', 'Ingrediant 2': ' 1/2 oz  Green Chartreuse', 'Ingrediant 3': ' 1 oz  Gin'}"
Sphinx Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 1/2 oz  Dry Vermouth'}"
Jitterbug Sour,Whiskies,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Straight rye whiskey', 'Ingrediant 2': ' 1/2 oz  Benedictine', 'Ingrediant 3': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 4': ' 1/2 oz  Honey Syrup', 'Ingrediant 5': ' 1 oz  Egg White', 'Ingrediant 6': ' 1 dash  Angostura Bitters'}"
Southern Gin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 2 oz  Orange Bitters', 'Ingrediant 3': ' 1/2 oz  Triple Sec'}"
Society Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 1/4 oz  Grenadine'}"
Snyder,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1/2 oz  Triple Sec'}"
Smiler Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Sweet Vermouth', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Gin', 'Ingrediant 4': ' 1 oz  Bitters', 'Ingrediant 5': ' 1/4 oz  Orange Juice'}"
Smile Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Grenadine', 'Ingrediant 2': ' 1 oz  Gin', 'Ingrediant 3': ' 1/2 oz  Lemon Juice'}"
Amaretto Rose,Cordials and Liqueurs,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Amaretto', 'Ingrediant 2': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/2 oz  Simple Syrup', 'Ingrediant 4': '  Soda water'}"
Sand-Martin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Green Chartreuse', 'Ingrediant 2': ' 1 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 1/2 oz  Gin'}"
Irish Whiskey Highball,Whiskies,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,Alcoholic,"{'Ingrediant 1': '2 oz Irish Whiskey', 'Ingrediant 2': ' 1 oz  Ginger ale or soda water', 'Ingrediant 3': ' 1 oz  Lemon twist (optional)'}"
Japanese,Brandy,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Brandy', 'Ingrediant 2': ' 1/2 oz  orgeat or almond syrup', 'Ingrediant 3': ' 2 oz  Angostura Bitters', 'Ingrediant 4': '  Lemon twist'}"
Roselyn Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Dry Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Gin', 'Ingrediant 3': ' 1/2 oz  Grenadine'}"
Resolute Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/4 oz Juice of a Lemon', 'Ingrediant 2': ' 1/2 oz  Apricot Flavored Brandy', 'Ingrediant 3': ' 1 oz  Gin'}"
Racquet Club Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Orange Bitters'}"
Amaretto And Cream,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Amaretto', 'Ingrediant 2': ' 1 1/2 oz  half-and-half'}"
Pollyanna Cocktai,Cocktail Classics,Muddle ingredients. Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3 oz Orange', 'Ingrediant 2': ' 3 oz  Pineapple ', 'Ingrediant 3': ' 2 oz  Gin', 'Ingrediant 4': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 5': ' 1/2 oz  Grenadine'}"
Plaza Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sweet Vermouth', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 3/4 oz  Gin'}"
Irish Whiskey Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Garnish with olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Irish Whiskey', 'Ingrediant 2': ' 1/2 oz  Triple Sec', 'Ingrediant 3': ' 1/2 oz  Anisette', 'Ingrediant 4': ' 1/4 oz  Maraschino liqueur', 'Ingrediant 5': ' 1 oz  Angostura Bitters', 'Ingrediant 6': ' 1  Green olive'}"
Absinthe Special Cocktail,Cordials and Liqueurs,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Absinthe', 'Ingrediant 2': ' 1/4 oz  Simple Syrup', 'Ingrediant 3': ' 1 oz  Orange Bitters'}"
Nineteenth Hole,Cocktail Classics,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Sweet Vermouth', 'Ingrediant 4': ' 1 oz  Bitters'}"
Montreal Club Bouncer,Cocktail Classics,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1/2 oz  Anisette'}"
Monte Carlo Imperial Highball,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1/2 oz  White creme de menthe', 'Ingrediant 3': ' 1/4 oz  Juice of a Lemon', 'Ingrediant 4': '  Chilled Champagne'}"
Irish Shillelagh,Whiskies,"Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and cherry.",Irish Coffee Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Irish Whiskey', 'Ingrediant 2': ' 1 oz  Light Rum', 'Ingrediant 3': ' 1/2 oz  Sloe gin', 'Ingrediant 4': ' 1 oz  Fresh lemon juice', 'Ingrediant 5': ' 1/2 oz  Simple Syrup', 'Ingrediant 6': ' 1  Fresh raspberries and strawberries', 'Ingrediant 7': ' 2 peach slices', 'Ingrediant 8': ' maraschino cherry'}"
Melon Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1/4 oz  Lemon Juice', 'Ingrediant 3': ' 1/4 oz  Maraschino'}"
Mamie'S Sister,Cocktail Classics,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Juice of a Lime', 'Ingrediant 2': ' 2 oz  Gin', 'Ingrediant 3': '  Ginger ale'}"
Irish Rickey,Whiskies,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with lime.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Irish Whiskey', 'Ingrediant 2': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 3': ' 1 oz  Soda water', 'Ingrediant 4': ' 1 oz  Lime wedge'}"
Maiden'S Prayer,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1/2 oz  Triple Sec', 'Ingrediant 3': ' 1 oz  Lemon Juice'}"
Lone Tree Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sweet Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Gin'}"
London Buck,Cocktail Classics,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1/2 oz  Juice of a Lemon', 'Ingrediant 3': '  Ginger ale'}"
Leap Frog Highball,Cocktail Classics,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 2 oz  Gin', 'Ingrediant 3': '  Ginger ale'}"
Incider Cocktail,Whiskies,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with apple.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Rye or bourbon whiskey', 'Ingrediant 2': ' 4 oz  Apple cider', 'Ingrediant 3': ' 1 oz  Apple slice'}"
Kup'S Indispensable Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Light Vermouth', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1 1/2 oz  Gin', 'Ingrediant 4': ' 1 oz  Bitters'}"
Knock-Out Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Anisette', 'Ingrediant 2': ' 3/4 oz  Gin', 'Ingrediant 3': ' 3/4 oz  Dry Vermouth', 'Ingrediant 4': ' 1 oz  Creme de Menthe (White)'}"
K. G. B. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Kummel', 'Ingrediant 2': ' 1 1/2 oz  Gin', 'Ingrediant 3': ' 1/4 oz  Apricot Flavored Brandy', 'Ingrediant 4': ' 1/4 oz  Lemon Juice'}"
Jeyplak Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 1/4 oz  Anisette'}"
H. P. W. Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Dry Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 1/2 oz  Gin'}"
I.A.P.,Whiskies,Build in ice-filled Collins glass.,Collins Glass,Alcoholic,"{'Ingrediant 1': '2 oz Tennessee whiskey', 'Ingrediant 2': ' 1/4 oz  Fernet-Branca', 'Ingrediant 3': ' 3 oz  Cola'}"
Hotel Plaza Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Decorate with a slice of pineapple.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Sweet Vermouth', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 3/4 oz  Gin'}"
Hoffman House Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Dry Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Gin'}"
Hawaiin Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1 oz  Pineapple Juice', 'Ingrediant 3': ' 1/2 oz  Triple Sec'}"
